N,P,K,temperature,humidity,ph,rainfall,label
85,30,35,21.56,83.89,6.52,269.22,rice
63,42,30,21.53,82.04,5.54,199.88,rice
86,46,34,24.12,84.48,5.51,260.58,rice
87,40,33,26.7,80.69,5.64,189.67,rice
93,48,46,25.11,82.29,6.96,217.85,rice
82,54,42,26.03,82.62,6.56,184.58,rice
69,38,31,21.63,78.81,5.92,243.57,rice
74,41,34,21.87,85.49,6.47,240.91,rice
66,51,33,22.66,85.92,6.46,235.69,rice
87,55,45,21.6,78.26,5.97,206.77,rice
68,58,47,22.2,83.24,6.09,271.45,rice
78,37,34,23.93,80.1,6.38,269.78,rice
75,36,49,23.57,78.73,5.57,190.96,rice
85,53,38,20.44,81.05,6.99,232.91,rice
98,55,30,25.05,83.45,6.31,206.68,rice
85,33,38,23.18,85.63,6.81,206.34,rice
80,35,48,26.09,80.39,6.46,240.9,rice
66,52,40,25.45,82.24,5.5,212.42,rice
60,57,47,25.82,80.46,5.59,267.8,rice
97,32,39,20.48,84.08,6.65,192.84,rice
79,46,35,26.11,81.39,5.82,233.93,rice
89,36,36,26.97,83.2,6.16,231.76,rice
64,36,36,24.12,79.84,5.83,187.1,rice
85,36,48,26.02,78.57,5.86,246.9,rice
68,33,48,24.0,81.78,6.68,260.75,rice
67,32,38,22.97,81.74,6.59,247.34,rice
99,32,38,22.38,84.89,5.87,199.02,rice
77,42,35,21.75,85.39,6.16,266.13,rice
82,31,49,25.85,85.75,6.89,264.87,rice
66,44,34,22.81,78.47,6.07,278.53,rice
70,53,39,22.96,85.66,6.99,235.58,rice
88,34,35,26.78,82.63,6.31,254.8,rice
62,47,40,25.97,79.26,6.94,188.01,rice
67,47,43,21.65,78.96,6.84,204.62,rice
83,48,38,24.09,82.18,6.9,200.43,rice
88,37,37,24.7,80.4,5.97,255.19,rice
62,43,49,26.97,78.59,5.82,206.52,rice
97,56,47,22.59,79.26,6.75,250.35,rice
84,59,43,20.05,84.54,5.95,246.34,rice
97,34,32,20.75,82.43,5.91,240.48,rice
88,36,42,21.85,81.91,6.86,264.61,rice
63,42,35,20.02,84.17,6.46,206.2,rice
89,46,38,20.07,78.6,6.82,270.39,rice
81,55,41,21.04,79.02,5.96,269.9,rice
91,55,47,21.47,80.0,5.65,258.01,rice
95,42,42,21.08,85.44,6.8,277.62,rice
92,56,30,25.16,80.66,6.9,260.22,rice
94,54,35,25.51,78.86,6.81,265.86,rice
68,54,39,22.14,84.36,5.84,182.37,rice
67,39,47,26.77,80.23,6.46,219.97,rice
99,46,48,20.81,85.76,5.77,276.25,rice
70,33,38,25.1,80.51,6.41,231.14,rice
75,47,35,24.96,78.01,6.89,233.85,rice
88,52,43,22.55,78.56,6.5,213.02,rice
72,55,44,22.1,80.47,6.11,220.24,rice
71,33,38,26.58,83.42,6.85,241.55,rice
72,46,30,22.01,81.44,6.37,245.47,rice
